hospital_id,category_id
1015,8
1031,8
1063,8
1069,8
1074,8
1076,8
1102,8
1127,8
1145,8
1146,8
1148,8
1149,8
1158,8
1160,8
1169,8
1174,8
1186,8
1209,8
1234,8
1265,8
1284,8
1316,8
1330,8
1483,8
1535,8
1536,8
1575,8
1602,8
1610,8
1627,8
1633,8
1634,8
1637,8
1648,8
1662,8
1669,8
1689,8
1691,8
1730,8
1764,8
1768,8
1778,8
1800,8
1806,8
1829,8
1844,8
1848,8
1861,8
1865,8
1890,8
1901,8
1903,8
1910,8
1913,8
1915,8
1921,8
1936,8
1946,8
1948,8
1955,8
1963,8
1977,8
1982,8
1988,8
1991,8
1995,8
1996,8
1997,8
2000,8
2001,8
2003,8
2012,8
2030,8
2047,8
2048,8
2053,8
2058,8
2080,8
2087,8
2089,8
2091,8
2093,8
2112,8
2113,8
2119,8
2127,8
2151,8
2154,8
2184,8
2198,8
2201,8
2203,8
2206,8
2210,8
2217,8
2218,8
2241,8
2242,8
2250,8
2254,8
2321,8
2324,8
2330,8
2332,8
2333,8
2339,8
2355,8
2357,8
2362,8
10,9
19,9
23,9
32,9
36,9
60,9
62,9
72,9
80,9
89,9
91,9
96,9
107,9
110,9
115,9
118,9
121,9
126,9
135,9
155,9
157,9
164,9
167,9
203,9
206,9
209,9
212,9
213,9
220,9
244,9
254,9
255,9
259,9
261,9
267,9
276,9
280,9
287,9
296,9
298,9
299,9
300,9
301,9
311,9
324,9
338,9
340,9
360,9
396,9
398,9
399,9
400,9
401,9
403,9
404,9
405,9
406,9
407,9
420,9
430,9
435,9
437,9
438,9
446,9
447,9
450,9
460,9
464,9
465,9
472,9
472,9
481,9
490,9
502,9
503,9
517,9
518,9
520,9
524,9
532,9
541,9
542,9
543,9
545,9
548,9
549,9
550,9
552,9
554,9
555,9
556,9
557,9
558,9
559,9
560,9
561,9
563,9
564,9
566,9
567,9
591,9
603,9
612,9
619,9
622,9
627,9
632,9
652,9
657,9
658,9
666,9
699,9
700,9
701,9
703,9
710,9
720,9
725,9
747,9
754,9
760,9
764,9
787,9
791,9
794,9
799,9
806,9
816,9
817,9
818,9
821,9
823,9
828,9
837,9
844,9
871,9
878,9
890,9
908,9
910,9
917,9
925,9
938,9
944,9
948,9
950,9
952,9
959,9
890,9
961,9
965,9
979,9
980,9
986,9
994,9
1002,9
1010,9
1022,9
1029,9
1047,9
1049,9
1057,9
1065,9
1069,9
1074,9
1075,9
1089,9
1118,9
1122,9
1135,9
1142,9
1145,9
1146,9
1149,9
1155,9
1159,9
1169,9
1172,9
1174,9
1186,9
1202,9
1205,9
1207,9
1229,9
1232,9
1244,9
1247,9
1251,9
1254,9
1255,9
1260,9
1264,9
1285,9
1287,9
1307,9
1315,9
1333,9
1351,9
1356,9
1367,9
1391,9
1399,9
1405,9
1406,9
1413,9
1419,9
1424,9
1426,9
1436,9
1445,9
1453,9
1462,9
1463,9
1473,9
1481,9
1518,9
1522,9
1533,9
1561,9
1562,9
1566,9
1570,9
1572,9
1573,9
1587,9
1602,9
1603,9
1610,9
1648,9
1662,9
1669,9
1671,9
1672,9
1673,9
1674,9
1675,9
1677,9
1678,9
1679,9
1681,9
1682,9
1683,9
1684,9
1688,9
1690,9
1691,9
1692,9
1694,9
1695,9
1697,9
1699,9
1701,9
1704,9
1707,9
1713,9
1715,9
1719,9
1723,9
1725,9
1726,9
1732,9
1734,9
1738,9
1743,9
1744,9
1745,9
1746,9
1747,9
1748,9
1752,9
1753,9
1755,9
1759,9
1768,9
1787,9
1789,9
1806,9
1820,9
1839,9
1842,9
1843,9
1848,9
1869,9
1876,9
1878,9
1890,9
1892,9
1910,9
1911,9
1912,9
1946,9
1960,9
1973,9
1975,9
1977,9
1982,9
1987,9
1989,9
1995,9
1997,9
1999,9
2012,9
2014,9
2039,9
2048,9
2049,9
2051,9
2054,9
2066,9
2067,9
2075,9
2086,9
2093,9
2111,9
2115,9
2116,9
2117,9
2118,9
2119,9
2124,9
2127,9
2128,9
2135,9
2140,9
2151,9
2164,9
2167,9
2178,9
2187,9
2190,9
2202,9
2206,9
2207,9
2210,9
2218,9
2221,9
2222,9
2256,9
2259,9
2267,9
2274,9
2281,9
2290,9
2310,9
2312,9
2321,9
2323,9
2332,9
2336,9
2339,9
2340,9
32,10
74,10
107,10
132,10
164,10
174,10
191,10
196,10
203,10
213,10
259,10
261,10
264,10
268,10
276,10
284,10
287,10
298,10
299,10
301,10
330,10
331,10
336,10
345,10
360,10
369,10
387,10
398,10
403,10
409,10
410,10
415,10
430,10
460,10
464,10
481,10
499,10
517,10
518,10
519,10
524,10
543,10
545,10
548,10
550,10
554,10
556,10
557,10
558,10
559,10
564,10
566,10
567,10
572,10
591,10
619,10
627,10
640,10
666,10
694,10
699,10
700,10
725,10
764,10
787,10
806,10
816,10
821,10
823,10
828,10
886,10
887,10
890,10
959,10
960,10
890,10
965,10
979,10
1000,10
1021,10
1024,10
1029,10
1030,10
1049,10
1145,10
1149,10
1156,10
1169,10
1212,10
1218,10
1222,10
1231,10
1236,10
